name,release_number
de.freewarepoint.whohasmystuff,31
de.gabbo.forro_lyrics,14
de.grobox.liberario,48
de.hampager.dapnetmobile,19
de.hfu.funfpunktnull,22
de.hirtenstrasse.michael.lnkshortener,7
de.jkliemann.parkendd,29
de.karbach.tac,6
de.kb.android.calendar.ics.adapter,16
de.kb.android.contentproviderhelper,5
de.kb.android.intentintercept,300
de.kb.android.locationMapViewer,6
de.kb.android.toGoZip,10
de.kever.kandroid,10
de.kodejak.hashr,13
de.koelle.christian.trickytripper,19
de.kromke.andreas.unpopmusicplayerfree,19
de.markusfisch.android.shadereditor,42
de.marmaro.krt.ffupdater,21
de.meonwax.soundboard,4
de.msal.muzei.nationalgeographic,9
de.naturalnet.mirwtfapp,9
de.naturalnet.zahnarztgeraeusche,1
de.nico.asura,12
de.nico.ha_manager,26
de.phoenixstudios.pc_dimmer,5
de.rampro.activitydiary,111
de.saschahlusiak.freebloks,70
de.simplestatswidget,103
de.smasi.tickmate,42
de.srlabs.snoopsnitch,17
de.stephanlindauer.criticalmaps,31
de.szalkowski.activitylauncher,10
de.t_dankworth.secscanqr,4
de.tap.easy_xkcd,141
de.tobiasbielefeld.brickgames,18
de.tobiasbielefeld.solitaire,64
de.tu_chemnitz.wlan,6
de.vanitasvitae.enigmandroid,16
de.vibora.viborafeed,27
de.westnordost.streetcomplete,306
de.xskat,14
de.yazo_games.mensaguthaben,15
dk.jens.backup,19
dmusiolik.pijaret,9
email.schaal.ocreader,42
eu.devunit.fb_client,4
eu.faircode.finegeotag,2016042701
eu.kanade.tachiyomi,30
eu.polarclock,6
eu.siebeck.sipswitch,11
eu.uwot.fabio.altcoinprices,17
eu.veldsoft.ithaka.board.game,5
eu.wikijourney.wikijourney,21
felixwiemuth.lincal,12
fly.speedmeter.grub,24
fr.hnit.babyname,3
fr.hnit.riverferry,3
fr.kwiatkowski.ApkTrack,19
fr.masciulli.drinks,29
fr.mobdev.blooddonation,12
fr.mobdev.goblim,11
fr.neamar.kiss,106
fr.nocle.passegares,152
fr.sd.photobackup,33
fr.si.pointeuse,1
fr.simon.marquis.secretcodes,201
free.rm.netcfgwidget,1
git.rrgb.kinolog,12
github.yaa.memento,2
GITHUB_-android-master,2048
GITHUB_Android-SecretCodes-master,
GITHUB_BetterBatteryStats-master,
GITHUB_-bitClockWidget-master,10
GITHUB_CameraColorPicker-master,
GITHUB_cantstoptherock-master,
GITHUB_CarbonContacts-master,
GITHUB_ChaseWhisplyProject-master,
GITHUB_Clip-Stack-master,
GITHUB_cloud-cup-android-master,
GITHUB_ContentProviderHelper-master,
GITHUB_Cotable-master,
GITHUB_forecastie-master,
GITHUB_GameOfCards-master,
GITHUB_github-status-master,
GITHUB_gnucash-android-master,
GITHUB_GSD_Mobile-master,
GITHUB_Habito-master,
GITHUB_hex-master,
GITHUB_Hillffair-master,
GITHUB_iBeebo-master,
GITHUB_Insta-master,
GITHUB_InstaMaterial-master,
GITHUB_intent-intercept-master,
GITHUB_KISS-master,
GITHUB_krReader-master,36
GITHUB_KuaiHu-master,
GITHUB_Leisure-master,
GITHUB_libretorrent-master,
GITHUB_LoneColor-Android-master,
GITHUB_medical-data-android-master,
GITHUB_Memento-master,
GITHUB_memory-game-master,
GITHUB_micopi_android-master,
GITHUB_microsoft-pragyan-hackathon-master,
GITHUB_Minimal-Todo-master,
GITHUB_Minitask-master,
GITHUB_Moticons-master,
GITHUB_MovieGuide-master,
GITHUB_MultiROMMgr-master,
GITHUB_NewPipe-master,
GITHUB_NightSight-master,
GITHUB_NSIT-Connect-master,
GITHUB_OCiney-master,
GITHUB_open_flood-master,
GITHUB_org.numixproject.croma-master,
GITHUB_photo-affix-master,
GITHUB_PocketHub-master,
GITHUB_RedReader-master,
GITHUB_Remindly-master,
GITHUB_saga-android-master,
GITHUB_shadowsocks-android-master,
GITHUB_ShutUp-master,
GITHUB_Simple-Calculator-master,
GITHUB_Simple-Calendar-master,
GITHUB_Simple-Camera-master,
GITHUB_Simple-Draw-master,
GITHUB_Simple-File-Manager-master,
GITHUB_Simple-Flashlight-master,
GITHUB_Simple-Gallery-master,
GITHUB_Simple-Music-Player-master,
GITHUB_Simple-Notes-master,
GITHUB_skooterapp-master,
GITHUB_SoundRecorder-master,
GITHUB_StockTicker-master,
GITHUB_S-Tools-master,
GITHUB_suprabhatham-android-app-master,
GITHUB_Swiftnotes-master,
GITHUB_Telecine-master,
GITHUB_ToGoZip-master,
GITHUB_Travel-Mate-master,
GITHUB_Tusky-master,
GITHUB_tutanota-master,
GITHUB_TweetLanes-master,
GITHUB_vanilla-master,
GITHUB_vex-daily-android-master,2
GITHUB_WalkieTalkie-master,
GITHUB_WhatsAppBetaUpdater-master,
GITHUB_Yaaic-master,
GITHUB_yahnac-master,
gq.nulldev.animeopenings.app,324
hr.kravarscan.enchantedfortress,9
im.r_c.android.jigsaw,2
in.andres.kandroid,17
in.blogspot.anselmbros.torchie,29
info.aario.killcamera,1
info.aario.snotepad,2
info.dvkr.screenstream,214
info.frangor.laicare,2
info.metadude.android.congress.schedule,44
info.papdt.blackblub,17
info.staticfree.SuperGenPass,22
info.zwanenburg.caffeinetile,2
io.github.baiatbun.react,1
io.github.benoitduffez.cupsprint,9
io.github.engsergiu.react,4
io.github.fvasco.pinpoi,55
io.github.gsantner.memetastic,41
io.github.hopedia,102
io.github.lonamiwebs.stringlate,1002
io.github.otakuchiyan.dnsman,101
io.github.phora.aeondroid,4
io.github.phora.androptpb,2
io.github.powerinside.scrollsocket,1
io.github.powerinside.syncplay,18
io.github.sanbeg.flashlight,4
io.homeassistant.android,4
io.mrarm.irc,5
is.pinterjann.jaws,7
it.langolonerd.app,1
it.linuxday.torino,1
it.lucci.cm.greyscaletheme,115
